TI,TE,TR,resitor,ventoinha,data,hora
66.87,27.51,55,2.72,0,2021-03-21,15:48:48
66.93,27.52,55,2.72,0,2021-03-21,15:48:50
67.51,27.52,55,2.72,0,2021-03-21,15:48:52
66.48,27.53,55,2.72,0,2021-03-21,15:48:54
66.42,27.51,55,2.72,0,2021-03-21,15:48:56
65.84,27.51,55,2.72,-43.06,2021-03-21,15:48:58
66.64,27.48,55,2.72,-65.67,2021-03-21,15:49:00
66.23,27.46,55,2.72,-68.67,2021-03-21,15:49:02
67.19,27.48,55,2.72,-92.63,2021-03-21,15:49:04
66.52,27.48,55,2.72,-92.54,2021-03-21,15:49:06
68.06,27.49,55,2.72,-100,2021-03-21,15:49:08
66.87,27.51,55,2.72,-100,2021-03-21,15:49:10
66.61,27.5,55,2.72,-100,2021-03-21,15:49:12
65.9,27.51,55,2.72,-100,2021-03-21,15:49:14
64.87,27.51,55,2.72,-100,2021-03-21,15:49:16
63.36,27.5,55,2.72,-100,2021-03-21,15:49:18
63.16,27.51,55,2.72,-100,2021-03-21,15:49:20
62.94,27.51,55,2.72,-100,2021-03-21,15:49:22
62.29,27.49,55,2.72,-100,2021-03-21,15:49:24
62.29,27.5,55,2.72,-100,2021-03-21,15:49:26
63.45,27.5,55,2.72,-100,2021-03-21,15:49:28
63.07,22.15,55,2.72,-100,2021-03-21,15:49:30
62.84,27.52,55,2.72,-100,2021-03-21,15:49:32
61.84,27.52,55,2.72,-100,2021-03-21,15:49:34
61.26,27.52,55,2.72,-100,2021-03-21,15:49:36
57.01,27.51,55,2.72,-88.77,2021-03-21,15:49:38
56.11,27.52,55,2.72,-100,2021-03-21,15:49:40
55.46,27.51,55,2.72,-99.09,2021-03-21,15:49:42
54.43,27.5,55,2.72,-91.43,2021-03-21,15:49:44
54.66,27.5,55,2.72,-98.5,2021-03-21,15:49:46
56.75,27.5,55,2.72,-100,2021-03-21,15:49:48
60.88,27.51,55,2.72,-100,2021-03-21,15:49:50
60.91,27.5,55,2.72,-100,2021-03-21,15:49:52
61.65,27.51,55,2.72,-100,2021-03-21,15:49:54
60.17,27.51,55,2.72,-100,2021-03-21,15:49:56
60.59,22.15,55,2.72,-100,2021-03-21,15:49:58
55.3,27.51,55,2.72,-75.08,2021-03-21,15:50:00
54.08,27.5,55,2.72,-88.33,2021-03-21,15:50:02
53.56,27.5,55,2.72,-87.86,2021-03-21,15:50:04
53.92,27.5,55,2.72,-92.9,2021-03-21,15:50:06
53.43,22.15,55,2.72,-84.72,2021-03-21,15:50:08
53.85,27.47,55,2.72,-90.18,2021-03-21,15:50:10
53.92,27.47,55,2.72,-87.65,2021-03-21,15:50:12
52.75,27.47,55,2.72,-73.48,2021-03-21,15:50:14
52.5,27.49,55,2.72,-74.2,2021-03-21,15:50:16
52.01,27.49,55,2.72,-67.67,2021-03-21,15:50:18
52.05,27.49,55,2.72,-67.45,2021-03-21,15:50:20
51.95,27.5,55,2.72,-63.27,2021-03-21,15:50:22
52.46,22.15,55,2.72,-66.38,2021-03-21,15:50:24
51.92,27.49,55,2.72,-55.24,2021-03-21,15:50:26
51.76,27.5,55,2.72,-53.12,2021-03-21,15:50:28
51.14,27.5,55,2.72,-43.95,2021-03-21,15:50:30
51.18,27.51,55,2.72,-43.51,2021-03-21,15:50:32
51.18,27.52,55,2.72,-43.51,2021-03-21,15:50:34
51.21,27.52,55,2.72,-43.51,2021-03-21,15:50:36
51.4,22.15,55,2.72,-43.51,2021-03-21,15:50:38
51.05,27.52,55,2.72,-43.51,2021-03-21,15:50:40
50.92,27.53,55,2.72,-43.51,2021-03-21,15:50:42
50.66,27.53,55,2.72,-43.51,2021-03-21,15:50:44
50.76,27.55,55,2.72,-43.51,2021-03-21,15:50:46
51.18,27.55,55,2.72,-43.51,2021-03-21,15:50:48
51.37,22.15,55,2.72,-43.51,2021-03-21,15:50:50
51.37,27.82,55,2.72,-43.51,2021-03-21,15:50:52
51.27,27.59,55,2.72,-43.51,2021-03-21,15:50:54
50.89,27.58,55,6.8,-43.51,2021-03-21,15:50:56
50.76,27.58,55,10.4,-43.51,2021-03-21,15:50:58
49.85,27.59,55,23.92,-43.51,2021-03-21,15:51:00
49.89,27.6,55,24.2,-43.51,2021-03-21,15:51:02
50.21,27.59,55,25.93,-43.51,2021-03-21,15:51:04
50.98,27.6,55,23.83,-43.51,2021-03-21,15:51:06
51.88,27.6,55,21.78,-43.51,2021-03-21,15:51:08
52.69,27.6,55,20.55,-43.51,2021-03-21,15:51:10
52.85,27.6,55,25.11,-43.51,2021-03-21,15:51:12
52.59,27.57,55,30.9,-43.51,2021-03-21,15:51:14
52.53,22.15,55,32.73,-43.51,2021-03-21,15:51:16
51.92,27.56,55,41.61,-43.51,2021-03-21,15:51:18
51.4,27.56,55,47.31,-43.51,2021-03-21,15:51:20
51.34,27.58,55,49.04,-43.51,2021-03-21,15:51:22
51.21,27.55,55,53.8,-43.51,2021-03-21,15:51:24
51.53,27.54,55,53.4,-43.51,2021-03-21,15:51:26
51.72,27.54,55,56.35,-43.51,2021-03-21,15:51:28
51.43,27.53,55,63.79,-43.51,2021-03-21,15:51:30
51.4,27.55,55,66.26,-43.51,2021-03-21,15:51:32
51.85,27.55,55,64.73,-43.51,2021-03-21,15:51:34
51.08,27.54,55,78.64,-43.51,2021-03-21,15:51:36
50.66,27.55,55,83.3,-43.51,2021-03-21,15:51:38
52.17,27.54,55,68.89,-43.51,2021-03-21,15:51:40
53.11,27.55,55,69.01,-43.51,2021-03-21,15:51:42
53.46,27.56,55,71.67,-43.51,2021-03-21,15:51:44
53.37,27.56,55,76.04,-43.51,2021-03-21,15:51:46
53.69,27.58,55,73.65,-43.51,2021-03-21,15:51:48
52.11,27.58,55,93.94,-43.51,2021-03-21,15:51:50
